,price,lower,upper
2020-12-14 00:00:00,25.512768709564405,11.968604017460924,39.056933401667884
2020-12-14 01:00:00,22.26203821956519,8.311300588976167,36.212775850154216
2020-12-14 02:00:00,18.153141307758652,3.847688437464223,32.45859417805308
2020-12-14 03:00:00,18.567111172236377,4.780965486349112,32.35325685812364
2020-12-14 04:00:00,22.064678257755983,8.603385731475626,35.52597078403634
2020-12-14 05:00:00,26.16697426123367,11.9480373192097,40.385911203257635
2020-12-14 06:00:00,33.20887211720756,17.096031148477234,49.32171308593789
2020-12-14 07:00:00,40.69519843464082,22.94221877015458,58.44817809912706
2020-12-14 08:00:00,44.92139301956627,27.784769398381,62.05801664075153
2020-12-14 09:00:00,44.94363352513546,28.31869836580292,61.568568684468005
2020-12-14 10:00:00,45.41063546147883,29.268365224710536,61.55290569824713
2020-12-14 11:00:00,46.91036932915833,31.07158422572624,62.749154432590416
2020-12-14 12:00:00,46.098540166217944,30.20805937526056,61.98902095717533
2020-12-14 13:00:00,43.44653470368247,27.24841129878547,59.64465810857946
2020-12-14 14:00:00,46.98975194355043,31.25685914076477,62.72264474633609
2020-12-14 15:00:00,49.7212706801229,34.649734752060084,64.79280660818571
2020-12-14 16:00:00,53.419835858946215,37.53813643444525,69.30153528344718
2020-12-14 17:00:00,53.03544036209682,34.9065734270727,71.16430729712094
2020-12-14 18:00:00,47.65934303612592,28.17962235126456,67.13906372098728
2020-12-14 19:00:00,40.514733246321626,24.05630111626319,56.97316537638007
2020-12-14 20:00:00,34.821892718870416,21.114027098728656,48.529758339012176
2020-12-14 21:00:00,33.98316447964979,21.463276469124267,46.50305249017531
2020-12-14 22:00:00,31.722952116278215,19.51527202545551,43.93063220710092
2020-12-14 23:00:00,27.09089126843231,13.332477822032377,40.84930471483224
