date_time,price,lower_interval,upper_interval
2021-01-08 00:00:00,34.53280506953132,20.76547902017216,48.30013111889048
2021-01-08 01:00:00,31.961843541011234,17.819471828330688,46.10421525369178
2021-01-08 02:00:00,30.11589711834497,15.656144161027214,44.57565007566273
2021-01-08 03:00:00,28.846950530017338,14.882402852692394,42.81149820734228
2021-01-08 04:00:00,31.521778031467043,17.9163219775768,45.12723408535729
2021-01-08 05:00:00,33.56689982945085,19.165655081632334,47.968144577269356
2021-01-08 06:00:00,40.40079809360417,24.017991437845193,56.78360474936315
2021-01-08 07:00:00,50.229380522241456,32.23713320932596,68.22162783515695
2021-01-08 08:00:00,58.7680223067435,41.34507323004359,76.19097138344341
2021-01-08 09:00:00,59.996847789702976,43.09278533187862,76.90091024752732
2021-01-08 10:00:00,57.63932874276152,41.18425326520585,74.09440422031719
2021-01-08 11:00:00,59.15083230199387,42.98222335605776,75.31944124792999
2021-01-08 12:00:00,58.72039753051067,42.426364355145495,75.01443070587584
2021-01-08 13:00:00,,,
2021-01-08 14:00:00,,,
2021-01-08 15:00:00,,,
2021-01-08 16:00:00,,,
2021-01-08 17:00:00,,,
2021-01-08 18:00:00,,,
2021-01-08 19:00:00,,,
2021-01-08 20:00:00,,,
2021-01-08 21:00:00,,,
2021-01-08 22:00:00,,,
2021-01-08 23:00:00,,,
