time,price,lower_int,upper_int,mape,mase
2019-07-01 11:00:00,28.523641822535723,10.830868831652701,46.216414813418744,242.49%,0.81
2019-07-02 11:00:00,31.688321457565518,13.999823315376542,49.3768195997545,242.49%,0.81
2019-07-03 11:00:00,31.25172822495169,13.568488772196726,48.93496767770665,242.49%,0.81
2019-07-04 11:00:00,31.53749291538076,13.861149087928514,49.21383674283301,242.49%,0.81
2019-07-05 11:00:00,31.799751456449215,14.126611122235978,49.47289179066245,242.49%,0.81
2019-07-06 11:00:00,25.377286327614943,7.7100988571888855,43.044473798041,242.49%,0.81
2019-07-07 11:00:00,24.121088944098943,6.458946850019515,41.78323103817837,242.49%,0.81
2019-07-08 11:00:00,32.78301210715996,15.126467985562293,50.43955622875763,242.49%,0.81
2019-07-09 11:00:00,35.36463960131163,17.711397905730653,53.01788129689261,242.49%,0.81
2019-07-10 11:00:00,34.89771564016361,17.249577698083275,52.54585358224395,242.49%,0.81
2019-07-11 11:00:00,35.45027543500279,17.806083103090884,53.09446776691469,242.49%,0.81
2019-07-12 11:00:00,41.757194256535726,24.10182635336169,59.412562159709765,242.49%,0.81
2019-07-13 11:00:00,31.719307243328828,14.067956609999225,49.37065787665843,242.49%,0.81
2019-07-14 11:00:00,30.636572188854856,12.98908213340044,48.28406224430927,242.49%,0.81
2019-07-15 11:00:00,39.61686549579183,21.97135323587576,57.262377755707895,242.49%,0.81
2019-07-16 11:00:00,38.07014391625236,20.430950916244086,55.70933691626064,242.49%,0.81
2019-07-17 11:00:00,39.36647801362689,21.73153102832656,57.00142499892722,242.49%,0.81
2019-07-18 11:00:00,40.45879086733783,22.826627778124205,58.09095395655146,242.49%,0.81
2019-07-19 11:00:00,39.67675448005618,22.050766060534272,57.30274289957809,242.49%,0.81
2019-07-20 11:00:00,33.46444154718535,15.841548788593506,51.0873343057772,242.49%,0.81
2019-07-21 11:00:00,31.37038176148775,13.7525274617884,48.988236061187095,242.49%,0.81
2019-07-22 11:00:00,40.36068410371347,22.747562458263836,57.9738057491631,242.49%,0.81
2019-07-23 11:00:00,39.15861820704554,21.55027709585175,56.76695931823933,242.49%,0.81
2019-07-24 11:00:00,40.16801679705079,22.56521275999698,57.7708208341046,242.49%,0.81
2019-07-25 11:00:00,41.79898894374285,24.199212699708692,59.398765187777,242.49%,0.81
2019-07-26 11:00:00,43.859420646061984,26.262074744020932,61.45676654810303,242.49%,0.81
2019-07-27 11:00:00,32.935338959172896,15.342774569553981,50.52790334879181,242.49%,0.81
2019-07-28 11:00:00,32.24977388124588,14.661682693005904,49.83786506948586,242.49%,0.81
2019-07-29 11:00:00,41.997262876750284,24.413206806680662,59.581318946819906,242.49%,0.81
2019-07-30 11:00:00,43.860484234462334,26.28049348294995,61.44047498597472,242.49%,0.81
2019-07-31 11:00:00,41.779265220179866,24.204397517851085,59.35413292250865,242.49%,0.81
2019-08-01 11:00:00,43.899550087535914,26.326914323783868,61.47218585128796,242.49%,0.81
2019-08-02 11:00:00,41.91579063667664,24.347501455951793,59.484079817401486,242.49%,0.81
2019-08-03 11:00:00,34.873198869817735,17.310540039227632,52.43585770040784,242.49%,0.81
2019-08-04 11:00:00,35.02753128604719,17.468357089759003,52.58670548233538,242.49%,0.81
2019-08-05 11:00:00,44.17369240266828,26.619161878657746,61.72822292667881,242.49%,0.81
2019-08-06 11:00:00,43.98173655254011,26.432376212309563,61.53109689277066,242.49%,0.81
2019-08-07 11:00:00,41.99424499938011,24.449356799460084,59.53913319930013,242.49%,0.81
2019-08-08 11:00:00,42.270964894419784,24.730420148469918,59.81150964036965,242.49%,0.81
2019-08-09 11:00:00,41.182654381791146,23.64570723993382,58.71960152364847,242.49%,0.81
2019-08-10 11:00:00,34.389485464029335,16.859752790867077,51.91921813719159,242.49%,0.81
2019-08-11 11:00:00,16.75056520942215,-0.8780198570084856,34.37915027585278,242.49%,0.81
2019-08-12 11:00:00,11.51807596157306,-6.257174728537695,29.293326651683817,242.49%,0.81
2019-08-13 11:00:00,35.59897881602065,17.79094816080861,53.40700947123268,242.49%,0.81
2019-08-14 11:00:00,36.668010576016634,18.86463645386237,54.471384698170894,242.49%,0.81
2019-08-15 11:00:00,34.96924370458551,17.171435037515266,52.76705237165575,242.49%,0.81
2019-08-16 11:00:00,35.09158547812561,17.297582911017415,52.8855880452338,242.49%,0.81
2019-08-17 11:00:00,27.056315667210114,9.268866232281571,44.84376510213866,242.49%,0.81
2019-08-18 11:00:00,25.235497029912334,7.453427768034498,43.017566291790175,242.49%,0.81
2019-08-19 11:00:00,37.93607677064821,20.154369837941594,55.71778370335482,242.49%,0.81
2019-08-20 11:00:00,33.30990168543726,15.528631772866554,51.09117159800797,242.49%,0.81
2019-08-21 11:00:00,36.66934119809622,18.892778744795,54.445903651397444,242.49%,0.81
2019-08-22 11:00:00,35.625274107838194,17.853979170963164,53.396569044713225,242.49%,0.81
2019-08-23 11:00:00,34.65914642786143,16.892588090746692,52.42570476497617,242.49%,0.81
2019-08-24 11:00:00,26.219284851206634,8.45671533176477,43.9818543706485,242.49%,0.81
2019-08-25 11:00:00,29.28716406541736,11.524159269536046,47.05016886129867,242.49%,0.81
2019-08-26 11:00:00,38.3521332279698,20.592679460249077,56.11158699569053,242.49%,0.81
2019-08-27 11:00:00,38.35068305720978,20.597098329107673,56.10426778531188,242.49%,0.81
2019-08-28 11:00:00,40.394083707676046,22.642755421915673,58.14541199343642,242.49%,0.81
2019-08-29 11:00:00,40.74625273373008,22.997630759770384,58.494874707689775,242.49%,0.81
